Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.38362792086504,8.07974533665914,8.16143079697964,3.81491616554095,-0.0840122638518039,5.36401627271424,10.1649955948421,7.6437935974254,11.4938285653697,6.62636884664514,5.21327290002557,5.2522746560909,3.01164666223812,2.17687336256473,1.15832626873824,5.28007148779103,6.67619516293692,-4.35949398995461,6.60481808836559,5.471131931738,4.73131371210214,3.70789461849279,6.69174238194239,-4.95407471089256,1.02410086163871,6.05790854956044,5.736460188482,6.41240516399535,12.728507447159,9.25942055972271,-0.03013326815055,-12.1075361856213,-7.57435721754354,-1.9586126283434,3.37286620031864,-0.600876396735046,3.79572761294251,3.82529309880827,5.49778845610642,3.14554360323187,7.38919716232351,,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.485789429032,1.29590608067429,6.21461791058083,6.97853350773255,5.98356261115181,2.38254609165584,6.30251721073168,5.09588078246428,7.04423241840924,7.17220703641655,4.00372351928991,3.91265629379166,2.61339388837773,4.10355221488801,1.34997281728944,2.58763920112666,3.59750974774349,0.896784694168801,4.04350392041144,3.03406821566392,3.3379589496938,3.32840049046553,-2.22045813521454,4.58126949106862,5.24924090486381,4.03724724432439,2.55328541629207,5.74072859859231,3.8647095536645,3.57061742142551,-0.397231658736658,0.41252910915604,4.02940866924268,3.98269524456455,3.8360591178651,3.87861846178214,3.96649664429529,4.57669378261247,5.07358525786199,3.93309702604363,1.93088254446003,4.00137703160961,2.9859404859405,4.05555187381954,3.20416012202685,2.7945833156557,3.84430955287924,3.65791265061549,1.93692176952554,2.06746567730687,2.46278617259068,3.91816177220686,2.58487511083116,2.5331154467595,2.1926400283338,2.77065669252896,2.36761725296472,2.94033358170461,,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.53797931684528,2.64867511295262,4.13826758157036,6.12435373762843,3.48017491799556,5.64286141093278,3.0080477977549,4.47231278246065,6.27586716607024,6.32114254507779,5.11496867127748,6.20786093023295,4.89043547139374,3.94213814114046,-0.36373570356109,4.57844537493344,5.07998080157401,-0.210653510515499,5.35669983191629,1.73148541873233,-0.144294460384657,2.0112543592022,2.97308798050202,0.0512752572163322,2.4986784919999,2.30139277876287,1.35716801466445,3.29588021671918,3.88707476589489,4.34564154381593,3.44162744917193,2.09352470997408,0.526809466130729,2.40211876560241,2.66798366152948,2.34953385169727,2.09359938952392,3.58142581460447,3.55633124664169,3.37572214708479,1.26716818922992,1.65155392186669,0.941470920725337,2.73512022241023,2.24406532463878,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,2.08260842829317,2.47644392123686,2.41976363780752,,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000182726626,-22.6000000456313,-23.0999993095445,-19.7000007224173,-11.7999997319416,1.29999946501567,5.8000000123296,10.0000011653707,7.39999958682311,11.0999995034959,9.90000013022203,9.43891634238625,10.2083000110732,9.25380132627771,27.9615380685244,34.4662093637953,25.4632159061216,10.5914372943933,9.369502784186,4.7888327097976,-1.57299762108386,2.20293902267818,5.84267326989973,2.79728938165775,1.05075098242399,-3.06420003538679,-0.282011196847733,1.41287352692132,,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.7461350547258,9.06315793459652,4.13540741977501,6.27303790305595,3.96722560866229,4.61299289593038,13.8215186020326,-0.297883673243859,-1.45954114320632,21.3256707328197,2.74682871136842,-6.40396492291269,6.88905071788042,-0.726839562116467,0.697920236170518,7.94266097596679,11.4694530442726,-0.940575989168565,1.66495495026511,0.991055725131801,12.1632755702466,-1.05359982020337,3.71532699143128,0.155544004817941,11.7831801831474,3.25018045829934,5.50309611884371,5.03102436828991,1.34950222992003,3.49982214003705,4.99683644802353,1.00999837099631,-6.24000000139044,-3.82999999619831,-7.92000000374772,-7.99999999794095,-1.58999999685827,4.74999999509613,-1.00999999649815,-0.856864058424151,2.05580710835243,4.44651941224797,-1.22372796023444,4.83365776809453,0.900000000901912,5.41380714491444,3.45195248952621,4.8617129950775,3.81274693652152,5.12416330338039,4.03260249625296,4.44670822214543,4.9241952612883,4.24065164368079,-3.9000030859375,-0.600020000546493,0.500009998779461,1.60993308234522,,
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.97842306319197,5.21200350925528,4.35158428167051,6.95668473344102,3.56065983986036,3.15589498173408,3.86814694690112,4.19412962494732,6.62979979529467,5.59182153579063,3.98582729907382,5.29560444837105,6.38170206212551,4.56525806779197,-1.96594153429368,5.65274584149404,0.626154820730022,2.8418965781493,2.34107303835739,4.44405402410875,-0.279283604914966,0.59498691972091,0.311842764704281,2.46638261847068,1.65179285231029,1.82276215923669,2.30665938884269,4.72320893200748,3.46916680457367,3.13740246177889,1.83307427924075,1.53065483605788,-0.961873090440875,3.22697146648132,2.38475720698521,1.32147848811599,3.79364486135974,1.96184075078834,3.54273427701128,3.71667711251564,1.09961615969796,1.70688915887587,1.03795305343826,3.57119289125183,2.32173738004792,2.55235376695013,3.67691824085243,0.446916545344948,-2.02072581635507,2.86428532684397,1.69449744610768,0.739229905081658,0.459228050116039,1.57852322952448,2.0327889725624,1.51110603420099,1.96419275543016,1.45840535284985,,
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.14128045871796,-3.42640982287578,4.73002797546205,6.6507591186332,5.29386283436428,3.57586273280779,1.07839866577679,3.84233563580638,2.87749797606187,2.0977575777372,-1.4968418282164,6.42636754448746,3.70616531858158,3.33931216069763,-4.89534544485576,0.884356333007233,4.98366372489882,1.25507803202878,6.53574740878149,6.78176387161335,9.9542311666321,2.23506634454742,-4.34782273446388,7.92983956425326,7.53032483653877,2.17114159786276,-1.50000294944441,3.40524529485123,-2.85416049626551,8.97613436064655,4.22579941870262,2.95771082640832,5.83617208779994,2.02040044766709,6.04519864774507,4.32428403143135,5.73468837672691,3.96101213801565,5.34144937202629,5.85771420543269,5.33313570603937,4.64303087074482,3.44357677591658,4.42968455385082,1.71316456361184,3.94373882815798,5.98634932177609,4.89657708429647,2.31929213912838,2.11406472648392,2.96375291904201,4.811223315688,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.67155546944753,6.69725946087986,,
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.04392797653317,6.12879878142711,-1.26801637263019,2.28281922317825,3.76454538057878,0.53761308310483,8.82331497511429,3.07077393772455,2.02608104065483,0.117019610899916,1.41333988193304,2.31149874124745,0.449327404973701,8.28642648234306,2.99838289042407,8.53489496952547,0.370353558007523,4.60782500525137,3.66462151183148,0.796878872350675,4.25530339449531,9.56219662276685,0.345984739692895,-1.77869668654424,8.51736499535107,7.95536272803459,-0.236336793625298,5.79559296480244,2.15026727576519,-0.60292848001005,9.06998446083453,0.232710762542766,3.46138493514046,1.31500727214082,5.71637386679349,11.0147438692119,6.31683473498401,7.30771963314496,7.40417896632496,1.82024189276156,6.61339955512814,4.35300432287377,7.80243989821501,4.47847434866785,8.66186160516736,6.25315860358158,5.65500511828274,7.29449815007297,2.96201437138612,5.37337312603061,6.62686519230525,6.45269875497425,5.79258931687122,4.32683735691617,3.89454805671508,5.9060249925772,6.3499181201437,6.83238810300897,,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.05816082548087,5.45303096987186,-0.455894289938712,10.9527885460418,1.60625822891573,2.56681200128052,-1.87586391964774,9.48945401547951,1.22085790909685,5.61985229280111,-5.47948302721956,-13.9737287020439,3.32568019878394,9.59195630041845,-4.08821409181661,5.66136120119667,2.67305605001984,7.07383773260692,4.80163460055662,0.81914186889891,7.23394369490723,2.13432783577075,3.88104639981715,4.80331001525438,3.34201465415414,4.173382559004,3.77240185252705,2.41625685566223,2.83658212907926,5.62225816160702,3.4852278153552,5.44268555072129,4.71156172449447,3.89012644065643,5.12127789716162,4.52291921762344,4.48989649735631,5.17702687345256,4.67015636827865,5.2932947184604,5.07728777597312,3.83312394005608,4.73956739916446,5.2395329104527,6.53594494052352,6.67190498148148,7.0585993565727,6.01378975923306,5.04512479417738,5.57180227396866,6.46438388047517,6.52143507837333,6.01361036536019,6.06105935903958,6.55265279631962,7.1134894741232,7.28418409195113,7.86370889257542,,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016185983096,2.33456559219091,3.43030591266262,3.39644362278435,2.68344073997291,4.20760200434142,6.05451383876866,10.9446920641535,-3.28988206795438,-9.11737709653305,-8.44535523808105,-7.27238790651938,-1.48021482899122,1.81801124071566,2.86018944148833,0.704680677821131,-1.08882024740534,6.34897902911045,-8.40813438865463,4.76577106392688,3.77021779291451,5.93751640002745,5.15621844288377,6.43535832318665,7.12351107638302,6.87435837944525,7.3444219091066,6.02188340210856,-3.58614562510616,1.32408780093829,1.91490585291416,0.0309698686798754,0.493921421234305,1.8375211479416,3.47118604090714,3.9367581489791,3.81124815844305,3.08115723374425,,
